id,name,latitude,longitude
3388.03,40 St & 3 Ave,40.6535,-74.00902
3391.10,E 34 St & Linden Blvd,40.65302,-73.94599
3394.03,McDonald Ave & Vanderbilt St,40.651654,-73.981231
3400.04,Rogers Ave & Lenox Rd,40.65378,-73.95273
3408.05,Ocean Ave & Crooke Ave,40.65326,-73.96172
3420.01,36 St & 4 Ave,40.654144,-74.00422
3423.10,Clarkson Ave & E 40 St,40.65592,-73.94068
3426.02,Prospect Ave & Vanderbilt St,40.653368,-73.976291
3428.04,2 Ave & 43 St,40.652928,-74.012864
3431.02,New York Ave & Lenox Rd,40.65458,-73.94716
3439.03,Bedford Ave & Clarkson Ave,40.65519,-73.9564
3448.02,Parkside Ave & Ocean Ave,40.65485,-73.96217
3451.01,34 St & 5 Ave,40.654098,-74.001131
3454.01,Clarkson Ave & Troy Ave,40.65633,-73.93648
3457.03,Prospect Park SW & Vanderbilt St,40.65482,-73.973217
3460.01,2 Ave & 36 St,40.657088,-74.008702
3460.02,36 St & 3 Ave,40.655716,-74.006664
3460.06,2 Ave & 37 St,40.65624,-74.00933
3463.01,Clarkson Ave & E 37 St,40.65577,-73.9432
3472.03,Clarkson Ave & Nostrand Ave,40.6555,-73.94975
3480.04,Parkside Ave & Flatbush Ave,40.65563,-73.95968
3486.02,Clarkson Ave & Utica Ave,40.65666,-73.93109
3492.04,34 St & 4 Ave,40.655278,-74.003101
3495.08,Lenox Rd & E 43 St,40.65496,-73.93765
3498.09,Prospect Park SW & 16 St,40.657265,-73.974165
3504.02,New York Ave & Hawthorne St,40.65794,-73.94735
3507.04,Prospect Park W & 20 St,40.656633,-73.983864
3512.03,Winthrop St & Rogers Ave,40.65686,-73.95331
3515.01,7 Ave & 22 St,40.658029,-73.989605
3520.01,Flatbush Ave & Fenimore St,40.65798,-73.96051
3523.06,29 St & 5 Ave,40.656986,-73.998194
3526.04,Winthrop St & Schenectady Ave,40.6582,-73.9338
3532.02,2 Ave & 32 St,40.659176,-74.006584
3535.03,Winthrop St & Albany Ave,40.6577,-73.9398
3538.09,11 Ave & Prospect Ave,40.65629,-73.977335
3544.02,Winthrop St & Nostrand Ave,40.65707,-73.95005
3547.04,19 St & 8 Ave,40.658489,-73.985543
3552.09,Bedford Ave & Fenimore St,40.65815,-73.95674
3555.04,24 St & 5 Ave,40.659555,-73.995068
3564.04,30 St & 4 Ave,40.657743,-74.001141
3567.05,Rutland Rd & E 45 St,40.66034,-73.93618
3576.10,Rutland Rd & Brooklyn Ave,40.65969,-73.94517
3579.04,Windsor Pl & Howard Pl,40.65949,-73.980139
3585.06,Nostrand Ave & Rutland Rd,40.6595,-73.95041
3588.01,7 Ave & 20 St,40.659053,-73.98854
3593.01,Maple St & Flatbush Ave,40.66026,-73.96045
3593.10,Flatbush Ave & Lincoln Rd,40.66131,-73.96091
3596.04,4 Ave & 26 St,40.660079,-73.998633
3599.01,Midwood St & Utica Ave,40.66124,-73.93164
3608.06,Maple St & Albany Ave,40.66155,-73.93974
3611.02,Prospect Park SW & 10 Ave,40.659945,-73.977504
3617.02,Maple St & New York Ave,40.66104,-73.94795
3620.02,Windsor Pl & 8 Ave,40.660906,-73.983074
3625.04,Bedford Ave & Maple St,40.66035,-73.95679
3625.07,Rogers Ave & Lincoln Rd,40.66127,-73.95352
3628.11,6 Ave & 21 St,40.66016,-73.990974
3633.08,Lincoln Rd & Ocean Ave,40.6605,-73.9626
3639.04,Schenectady Ave & Maple St,40.66178,-73.93445
3648.08,Kingston Ave & E New York Ave,40.66219,-73.94293
3651.04,West Drive & Prospect Park West,40.661063,-73.979452
3657.06,Sterling St & Nostrand Ave,40.66318,-73.95076
3660.07,7 Ave & 17 St,40.660937,-73.986804
3665.06,Sterling St & Bedford Ave,40.662705,-73.956911
3668.04,21 St & 4 Ave,40.662584,-73.995554
